"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARATFIN","EQ","03-Jan-2017","        602.25","        607.00","        623.40","        589.00","        620.45","        621.25","        609.55","    7690300","          4687622944.30","     121209","    1036832","         13.48"
"BHARATFIN","EQ","04-Jan-2017","        621.25","        621.25","        639.40","        621.00","        627.95","        629.50","        632.00","    7271108","          4595365367.05","     124255","    1848440","         25.42"
"BHARATFIN","EQ","05-Jan-2017","        629.50","        634.75","        643.80","        628.20","        638.50","        637.55","        635.93","    4240096","          2696387109.15","      75093","     650536","         15.34"
"BHARATFIN","EQ","06-Jan-2017","        637.55","        639.95","        646.05","        615.70","        622.55","        621.65","        631.08","    4309125","          2719400791.50","      63685","    1030284","         23.91"
"BHARATFIN","EQ","09-Jan-2017","        621.65","        624.00","        628.00","        610.45","        618.45","        619.80","        620.58","    2485372","          1542377977.45","      38687","     414641","         16.68"
"BHARATFIN","EQ","10-Jan-2017","        619.80","        620.05","        633.75","        620.00","        633.75","        631.85","        628.17","    2759967","          1733728092.85","      52640","     835872","         30.29"
"BHARATFIN","EQ","11-Jan-2017","        631.85","        636.80","        660.75","        636.10","        656.45","        656.85","        649.63","    4949423","          3215274762.35","      79712","    1185546","         23.95"
"BHARATFIN","EQ","12-Jan-2017","        656.85","        661.00","        674.40","        652.65","        663.35","        663.00","        664.48","    4210225","          2797619092.80","      62098","    1031309","         24.50"
"BHARATFIN","EQ","13-Jan-2017","        663.00","        667.50","        670.95","        646.70","        652.35","        653.90","        655.74","    2196036","          1440020174.25","      40443","     371135","         16.90"
"BHARATFIN","EQ","16-Jan-2017","        653.90","        651.80","        675.00","        650.00","        674.60","        672.15","        666.76","    2677798","          1785439710.50","      46424","     638538","         23.85"
"BHARATFIN","EQ","17-Jan-2017","        672.15","        677.95","        680.05","        666.50","        672.50","        675.65","        672.89","    2132527","          1434962940.05","      36793","     416698","         19.54"
"BHARATFIN","EQ","18-Jan-2017","        675.65","        674.00","        690.70","        670.05","        683.60","        685.10","        684.16","    2427188","          1660581007.70","      45944","     264599","         10.90"
